Ticker,CQ_EPS,NQ_EPS,CY_EPS,NY_EPS,CQ_Rev,NQ_Rev,CY_Rev,NY_Rev,Year,Annual EPS,Annual Revenue,Date,Quarter EPS,Quarter Revenue,Previous Quarter EPS2,Previous Quarter EPS,Corrent Quarter EPS,Next Quarter EPS,Previous Annual EPS2,Previous Annual EPS,Corrent Annual EPS,Next Annual EPS,Previous Quarter Revenue2,Previous Quarter Revenue,Corrent Quarter Revenue,Next Quarter Revenue,Previous Annual Revenue2,Previous Annual Revenue,Corrent Annual Revenue,Next Annual Revenue
LLY,,,,,,,,,,,,2023/06/30,,8312100000.0,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2023/03/31,,6960000000.0,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2022/12/31,,7301800000.0,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2022/09/30,,6941600000.0,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2022/06/30,,6488000000.0,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2022/03/31,,7810000000.0,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2021/12/31,,7999900000.0,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
LLY,,,,,,,,,,,,2021/09/30,,6772800000.0,-94.9,19.1,38.9,15.2,-9.6,12.3,68.3,44.5,36.8,28.1,14.5,5.0,15.4,0.8,28.1,23.9
AVGO,10.29,11.05,46.47,55.96,11710000000.0,12200000000.0,50010000000.0,55450000000.0,,,,,,,4.4,0.5,4.7,16.2,76.9,,,20.4,4.9,4.1,31.4,39.7,21.0,7.9,39.6,10.9
AVGO,,,,,,,,,2023,,,,,,4.4,0.5,4.7,16.2,76.9,,,20.4,4.9,4.1,31.4,39.7,21.0,7.9,39.6,10.9
AVGO,,,,,,,,,2022,26.463676,,,,,4.4,0.5,4.7,16.2,76.9,,,20.4,4.9,4.1,31.4,39.7,21.0,7.9,39.6,10.9
AVGO,,,,,,,,,2021,14.9625,,,,,4.4,0.5,4.7,16.2,76.9,,,20.4,4.9,4.1,31.4,39.7,21.0,7.9,39.6,10.9
AVGO,,,,,,,,,,,,2023/10/31,9.8,,4.4,0.5,4.7,16.2,76.9,,,20.4,4.9,4.1,31.4,39.7,21.0,7.9,39.6,10.9
AVGO,,,,,,,,,,,,2023/07/31,9.47,,4.4,0.5,4.7,16.2,76.9,,,20.4,4.9,4.1,31.4,39.7,21.0,7.9,39.6,10.9
